,,
United States Voyager 1,5 September 1977,"Jupiter/Saturn flyby, Farthest human-made object; currently (2013) over 125 AU"
United States Pioneer Venus 1,20 May 1978,Venus orbiter
United States Pioneer Venus 2,8 August 1978,Venus atmospheric probes
United States European Union ISEE-3,12 August 1978,Solar wind investigations; later redesignated International Cometary Explorer and performed Comet Giacobini-Zinner and Comet Halley flybys; First comet flyby
Soviet Union Venera 11,9 September 1978,Venus flyby and lander
Soviet Union Venera 12,14 September 1978,Venus flyby and lander
,,
Soviet Union Venera 13,30 October 1981,Venus flyby and lander
Soviet Union Venera 14,4 November 1981,Venus flyby and lander
Soviet Union Venera 15,2 June 1983,Venus orbiter
Soviet Union Venera 16,7 June 1983,Venus orbiter
Soviet Union Vega 1,15 December 1984,"Venus flyby, lander and first balloon; continued on to Comet Halley flyby"
Soviet Union Vega 2,21 December 1984,"Venus flyby, lander and balloon; continued on to Comet Halley flyby"
,,
Japan Sakigake,7 January 1985,Comet Halley flyby
European Union Giotto,2 July 1985,Comet Halley flyby
Japan Suisei (Planet-A),18 August 1985,Comet Halley flyby
Soviet Union Mir,20 February 1986,First modular space station (completion 1996)
Soviet Union Phobos 1,7 July 1988,Attempted Mars orbiter/Phobos landers (contact lost)
Soviet Union Phobos 2,12 July 1988,Mars orbiter/attempted Phobos landers (contact lost)
United States Magellan,4 May 1989,Venus orbiter
United States Galileo,18 October 1989,"Venus flyby, first Asteroid flyby, first Asteroid moon discovery, first Jupiter orbiter/atmospheric probe"
,,
Japan Hiten (Muses-A),24 January 1990,Lunar flyby and orbiter
United States European Union Hubble Space Telescope,1990,Orbital space telescope
United States European Union Ulysses,6 October 1990,Solar polar orbiter
Japan United States United Kingdom Yohkoh (Solar-A),30 August 1991,Solar observations
United States Mars Observer,25 September 1992,Attempted Mars orbiter (contact lost)
United States Clementine,25 January 1994,Lunar orbiter/attempted asteroid flyby
United States WIND,1 November 1994,Solar wind observations
European Union United States SOHO,2 December 1995,Solar observatory
United States NEAR Shoemaker,17 February 1996,"Eros orbiter, first near-Earth asteroid flyby, first asteroid orbit and first asteroid landing"
United States Mars Global Surveyor,7 November 1996,Mars orbiter
Russia Mars 96,16 November 1996,Attempted Mars orbiter/landers (failed to escape Earth orbit)
United States Mars Pathfinder,4 December 1996,Mars lander and first planetary rover
,,
United States ACE,25 August 1997,"Solar wind and space weather"" observations"""
United States European Union Italy Cassini-Huygens,10/15/97, First Saturn orbiter and first outer planet lander
China AsiaSat 3/HGS-1,24 December 1997,Lunar flyby
United States Lunar Prospector,7 January 1998,Lunar orbiter
Japan Nozomi (probe) (also known as Planet-B),3 July 1998,Attempted Mars orbiter (failed to enter Mars orbit)
United States Deep Space 1 (DS1),24 October 1998,Asteroid and comet flyby
United States Russia European Union Japan Canada,20 November 1998,International Space Station (planned completion 2013)
United States Mars Climate Orbiter,11 December 1998,Attempted Mars orbiter (orbit insertion failed)
United States Mars Polar Lander/Deep Space 2 (DS2),3 January 1999,Attempted Mars lander/penetrators (contact lost)
United States Stardust,7 February 1999,First comet coma sample return; returned 15 January 2006
,,
,,
,,
United States 2001 Mars Odyssey,7 April 2001,Mars orbiter
United States Genesis,8 August 2001,First solar wind sample return
United States CONTOUR,3 July 2002,Attempted flyby of three comet nuclei (lost in space)
Japan Hayabusa (Muses-C),9 May 2003,Asteroid lander and First sample return from asteroid
United States Mars Exploration Rovers,10 June/7 July 2003,"Two Mars rovers (Spirit"" and ""Opportunity"")"""
European Union United Kingdom Mars Express/Beagle 2,1 June 2003,Mars orbiter/lander (lander failure)
European Union SMART-1,27 September 2003,Lunar orbiter
China Shenzhou 5,15 October 2003,China's first manned Earth orbiter
European Union Rosetta,2 March 2004,Comet orbiter and lander (expected arrival 2014)
United States MESSENGER,3 August 2004,First Mercury orbiter (achieved orbit 18 March 2011)
United States Deep Impact,12 January 2005,First comet impact
United States Mars Reconnaissance Orbiter,12 August 2005,Mars orbiter
European Union Venus Express,9 November 2005,Venus polar orbiter
United States New Horizons,19 January 2006,First Pluto/Charon and Kuiper Belt flyby (expected arrival 14 July 2015)
Japan United States United Kingdom Hinode (Solar-B),22 September 2006,Solar orbiter
United States STEREO,26 October 2006,"Two spacecraft, solar orbiters"
United States Phoenix,4 August 2007,Mars polar lander
Japan SELENE (Kaguya),14 September 2007,Lunar orbiters
United States Dawn,27 September 2007,Asteroid Ceres and Vesta orbiter (entered orbit around Vesta on 16 July 2011)
China Chang'e 1,24 October 2007,Lunar orbiter
India Chandrayaan-1,22 October 2008,Lunar orbiter and impactor; Discovered water on the moon
United States Lunar Reconnaissance Orbiter/LCROSS,18 June 2009,Lunar polar orbiter and lunar impactor
,,
,,
United States Solar Dynamics Observatory,11 February 2010,Continuous solar monitoring
Japan Akatsuki (Planet-C),20 May 2010,Venus orbiter (orbit insertion failed in 2010 / postponed to 2016
France PICARD,15 June 2010,Solar monitoring
China Chang'e 2,1 October 2010,"Lunar orbiter, Asteroid 4179 Toutatis flyby"
United States Juno,5 August 2011,Jupiter orbiter
United States GRAIL,10 September 2011,"Two spacecraft, Lunar orbiters"
Russia China Fobos-Grunt and Yinghuo-1,8 November 2011,"Phobos orbiter, lander and sample return (Russia), Mars orbiter (China); failed to escape Earth orbit"
United States Mars Science Laboratory (Curiosity Rover),26 November 2011,large Mars 900 kg Rover (landed 6 August 2012)
United States IRIS,27 June 2013,Solar observations
United States LADEE,6 September 2013,Lunar orbiter
India Mars Orbiter Mission (Mangalyaan),5 November 2013,Mars orbiter
United States MAVEN,18 November 2013,Mars orbiter
China Chang'e 3,12/01/13, Lunar lander and rover (most recent lander since Russian Luna 24 in 1976)
,,
Japan Hayabusa 2,July 2014,Asteroid lander and sample return
India Astrosat,2014,Space observatory
European Union Japan BepiColombo,August 2015,Mercury orbiters
India ISRO Extraterrestrial Exploration,May 2015,Venus orbiter
Astrobotic Technology,October 2015,First private lunar lander and rover mission
European Union Don Quijote,2013 or 2015,"Asteroid orbiter, impactor"
China Chang'e 4,2015,Lunar lander and rover
United States Germany France InSight,March 2016,Mars lander
European Union Russia ExoMars Trace Gas Orbiter and EDM lander,2016,Mars orbiter and lander
United States OSIRIS-REx,2016,Asteroid sample return mission[2]
India ISRO Orbital Vehicle,2016,First Indian manned orbiter [1]
Russia Luna-Glob 1,2016,"Lunar orbiter, lander and penetrators"
India Chandrayaan-2,2016,Lunar orbiter and rover
European Union SOLO,January 2017,Solar Orbiter
China Chang'e 5,2017,Lunar sample return mission
Japan Selene-2,2017,Lunar lander and penetrator 
United States Solar Probe Plus,30 July 2018,"Solar Orbiter, Closest solar approach (0.04 AU)"
European Union Russia ExoMars rover and Russian static lander,2018,Mars rover and lander
European Union MoonNext,2018,Lunar Lander
United States International Lunar Network,2018,Lunar lander
Russia Luna-Glob 2,2018,Lunar lander
China Chang'e 6,2019,Lunar sample return mission[citation needed]
Russia Luna-Grunt 1,2020,"Lunar orbiter, lander and rover"
European Union MarcoPolo-R,2020,Asteroid sample return mission
India ,2020,manned landing on moon
United States Mars 2020,2020,Rover Mission
United States European Union,2020, Mars sample return mission
Russia Lunnyj Poligon,2020,Russian robotic lunar base
Russia Luna-Grunt 2,2021,Lunar lander and sample return
European Union Jupiter Icy Moon Explorer,2022,Mission to explore Jupiter and its icy moons.
Russia Venera-D,2024,Venus orbiter
United States,2025,manned landing on asteroid
China Manned landing on Moon (2020-30?),2025,
Russia,2025,manned lunar mission
United States,2035,manned mars mission
China,2040-2060,Crewed phase of the Chinese Mars exploration program 
